"","Country","Year","Gini_Coefficient","EU_2004","EU_2014"
"202","EST","2008",0.989954761108982,1,1
"203","EST","2007",0.989651604256184,1,1
"204","EST","2006",0.989835339640036,1,1
"205","EST","2005",0.990071168719952,1,1
"206","EST","2004",0.990200262582498,1,1
"207","EST","2003",0.989795185921233,1,1
"208","EST","2002",0.990334233075632,1,1
"209","EST","2001",0.99043867743691,1,1
"210","EST","2000",0.990713954977643,1,1
"211","FIN","2014",0.992346171885974,0,1
"212","FIN","2013",0.992375190019129,0,1
"213","FIN","2012",0.992311582956417,0,1
"214","FIN","2011",0.992209494041076,0,1
"215","FIN","2010",0.992229551549517,0,1
"216","FIN","2009",0.991717518720037,0,1
"217","FIN","2008",0.991815700422795,0,1
"218","FIN","2007",0.992060058039409,0,1
"219","FIN","2006",0.992278501626593,0,1
"220","FIN","2005",0.992262193018552,0,1
"221","FIN","2004",0.992673452840982,0,1
"222","FIN","2003",0.992592699298281,0,1
"223","FIN","2002",0.992660252788057,0,1
"224","FIN","2001",0.993056311923198,0,1
"225","FIN","2000",0.993470813479442,0,1
"226","FRA","2014",0.990176763554141,0,1
"227","FRA","2013",0.990084334825813,0,1
"228","FRA","2012",0.990052347530142,0,1
"229","FRA","2011",0.990122944404866,0,1
"230","FRA","2010",0.990300390897252,0,1
"231","FRA","2009",0.989836307141259,0,1
"232","FRA","2008",0.989748593160902,0,1
"233","FRA","2007",0.98974086254301,0,1
"234","FRA","2006",0.989701035798015,0,1
"235","FRA","2005",0.989758536369906,0,1
"236","FRA","2004",0.989662778928402,0,1
"237","FRA","2003",0.98980776732234,0,1
"238","FRA","2002",0.99000068667669,0,1
"239","FRA","2001",0.990016432343281,0,1
"240","FRA","2000",0.989980752511805,0,1
"241","GBR","2014",0.988750827907496,0,1
"242","GBR","2013",0.988710313369873,0,1
"243","GBR","2012",0.988673668108641,0,1
"244","GBR","2011",0.988792235743994,0,1
"245","GBR","2010",0.98881074333115,0,1
"246","GBR","2009",0.98853105417477,0,1
"247","GBR","2008",0.989042363084383,0,1
"248","GBR","2007",0.988929910990989,0,1
"249","GBR","2006",0.989029150411263,0,1
"250","GBR","2005",0.988796374427303,0,1
"251","GBR","2004",0.988998597591058,0,1
"252","GBR","2003",0.989077347711646,0,1
"253","GBR","2002",0.989355368539358,0,1
"254","GBR","2001",0.989486157190795,0,1
"255","GBR","2000",0.989429826534514,0,1
"256","GRC","2014",0.991773524043304,0,1
"257","GRC","2013",0.991589029643988,0,1
"258","GRC","2012",0.991704281946304,0,1
"259","GRC","2011",0.991515854473763,0,1
"260","GRC","2010",0.991365128597708,0,1
"261","GRC","2009",0.991256747771852,0,1
"262","GRC","2008",0.991465756696691,0,1
"263","GRC","2007",0.991177813984451,0,1
"264","GRC","2006",0.99126798119671,0,1
"265","GRC","2005",0.991031985418145,0,1
"266","GRC","2004",0.9912280943448,0,1
"267","GRC","2003",0.991590002423925,0,1
"268","GRC","2002",0.991787425904842,0,1
"269","GRC","2001",0.991705107992023,0,1
"270","GRC","2000",0.991977880023698,0,1
"271","HRV","2014",0.98801289710258,0,0
"272","HRV","2013",0.988190764242263,0,0
"273","HRV","2012",0.988164140028264,0,0
"274","HRV","2011",0.988145498882364,0,0
"275","HRV","2010",0.988672930329629,0,0
"276","HRV","2009",0.988249858750118,0,0
"277","HRV","2008",0.988260341418381,0,0
"278","HRV","2007",0.988260738110989,0,0
"279","HRV","2006",0.988273420997458,0,0
"280","HRV","2005",0.988390168865866,0,0
"281","HRV","2004",0.988210047893144,0,0
"282","HRV","2003",0.988436726699731,0,0
"283","HRV","2002",0.989719453064302,0,0
"284","HRV","2001",0.989913815444824,0,0
"285","HRV","2000",0.990105188308754,0,0
"286","HUN","2014",0.99007473553444,1,1
"287","HUN","2013",0.989887389483046,1,1
"288","HUN","2012",0.989974965265811,1,1
"289","HUN","2011",0.989467426336102,1,1
"290","HUN","2010",0.989279859902459,1,1
"291","HUN","2009",0.989027082373786,1,1
"292","HUN","2008",0.989137590371648,1,1
"293","HUN","2007",0.988987512893941,1,1
"294","HUN","2006",0.98922969406302,1,1
"295","HUN","2005",0.989288705324144,1,1
"296","HUN","2004",0.988985554532233,1,1
"297","HUN","2003",0.989990405330565,1,1
"298","HUN","2002",0.989632970809659,1,1
"299","HUN","2001",0.989843385505762,1,1
"300","HUN","2000",0.990204475197604,1,1
"301","IDN","2014",0.992905173696487,0,0
"302","IDN","2013",0.992770988319144,0,0
"303","IDN","2012",0.992493469729481,0,0
"304","IDN","2011",0.992334353474748,0,0
"305","IDN","2010",0.992475832916033,0,0
"306","IDN","2009",0.993035316200131,0,0
"307","IDN","2008",0.992502037425368,0,0
"308","IDN","2007",0.992235837265703,0,0
"309","IDN","2006",0.991848459118957,0,0
"310","IDN","2005",0.99207879452831,0,0
"311","IDN","2004",0.992351236043905,0,0
"312","IDN","2003",0.992322816311952,0,0
"313","IDN","2002",0.99278975685761,0,0
"314","IDN","2001",0.99308541676452,0,0
"315","IDN","2000",0.993014398535855,0,0
"316","IND","2014",0.994046114851812,0,0
"317","IND","2013",0.994274219258041,0,0
"318","IND","2012",0.994078888271737,0,0
"319","IND","2011",0.994063262027115,0,0
"320","IND","2010",0.994063462909836,0,0
"321","IND","2009",0.993955728061949,0,0
"322","IND","2008",0.993927856850241,0,0
"323","IND","2007",0.993760269151809,0,0
"324","IND","2006",0.993848646192604,0,0
"325","IND","2005",0.993551693524514,0,0
"326","IND","2004",0.993373976341466,0,0
"327","IND","2003",0.993203118026597,0,0
"328","IND","2002",0.993143856443232,0,0
"329","IND","2001",0.993231649528898,0,0
"330","IND","2000",0.993154971974152,0,0
"331","IRL","2014",0.992641921879053,0,1
"332","IRL","2013",0.992775296563812,0,1
"333","IRL","2012",0.99289389319493,0,1
"334","IRL","2011",0.992624784139297,0,1
"335","IRL","2010",0.993094677502038,0,1
"336","IRL","2009",0.993317153457594,0,1
"337","IRL","2008",0.993383562005691,0,1
"338","IRL","2007",0.993071685562475,0,1
"339","IRL","2006",0.993313733567793,0,1
"340","IRL","2005",0.993405511316388,0,1
"341","IRL","2004",0.993201086833968,0,1
"342","IRL","2003",0.993125936840831,0,1
"343","IRL","2002",0.99309733322831,0,1
"344","IRL","2001",0.992896380029636,0,1
"345","IRL","2000",0.992680693130236,0,1
"346","ITA","2014",0.989985002974026,0,1
"347","ITA","2013",0.989911330207699,0,1
"348","ITA","2012",0.990015955039688,0,1
"349","ITA","2011",0.989913603687254,0,1
"350","ITA","2010",0.990022987034359,0,1
"351","ITA","2009",0.989699973643051,0,1
"352","ITA","2008",0.989885529644262,0,1
"353","ITA","2007",0.989920940860737,0,1
"354","ITA","2006",0.98995782064208,0,1
"355","ITA","2005",0.989848448325478,0,1
"356","ITA","2004",0.989866126395163,0,1
"357","ITA","2003",0.989730172474722,0,1
"358","ITA","2002",0.989773579030814,0,1
"359","ITA","2001",0.98986919037583,0,1
"360","ITA","2000",0.989983499017567,0,1
"361","JPN","2014",0.993707075612787,0,0
"362","JPN","2013",0.993640810320837,0,0
"363","JPN","2012",0.993239451576565,0,0
"364","JPN","2011",0.993169061205747,0,0
"365","JPN","2010",0.993182718339657,0,0
"366","JPN","2009",0.992893596802736,0,0
"367","JPN","2008",0.993015011963131,0,0
"368","JPN","2007",0.993317211674679,0,0
"369","JPN","2006",0.993339715200151,0,0
"370","JPN","2005",0.993128238962971,0,0
"371","JPN","2004",0.993262335094141,0,0
"372","JPN","2003",0.993444179773245,0,0
"373","JPN","2002",0.993666476126194,0,0
"374","JPN","2001",0.993516330503816,0,0
"375","JPN","2000",0.993319288265527,0,0
"376","KOR","2014",0.993781052331545,0,0
"377","KOR","2013",0.993886700781529,0,0
"378","KOR","2012",0.994112276478212,0,0
"379","KOR","2011",0.99433520292163,0,0
"380","KOR","2010",0.994042816793304,0,0
"381","KOR","2009",0.994324046660211,0,0
"382","KOR","2008",0.993915079650627,0,0
"383","KOR","2007",0.993278258932744,0,0
"384","KOR","2006",0.993279349296151,0,0
"385","KOR","2005",0.993340615590809,0,0
"386","KOR","2004",0.993723380577776,0,0
"387","KOR","2003",0.993678986972185,0,0
"388","KOR","2002",0.993672059658355,0,0
"389","KOR","2001",0.993536768095981,0,0
"390","KOR","2000",0.993258118313315,0,0
"391","LTU","2014",0.991384378745306,1,1
"392","LTU","2013",0.991333745660716,1,1
"393","LTU","2012",0.991737242577785,1,1
"394","LTU","2011",0.991765404961035,1,1
"395","LTU","2010",0.991544854870499,1,1
"396","LTU","2009",0.991451797794643,1,1
"397","LTU","2008",0.991721207560202,1,1
"398","LTU","2007",0.990910895933673,1,1
"399","LTU","2006",0.990769575256024,1,1
"400","LTU","2005",0.990668743002488,1,1
"401","LTU","2004",0.990384000097376,1,1
"402","LTU","2003",0.989796714979681,1,1
"403","LTU","2002",0.990035602066613,1,1
"404","LTU","2001",0.990345631848271,1,1
"405","LTU","2000",0.990423395503583,1,1
"406","LUX","2014",0.993997882573314,0,1
"407","LUX","2013",0.99378838577145,0,1
"408","LUX","2012",0.994403613998297,0,1
"409","LUX","2011",0.994391266250254,0,1
"410","LUX","2010",0.994234523032592,0,1
"411","LUX","2009",0.994001870995781,0,1
"412","LUX","2008",0.993876179996395,0,1
"413","LUX","2007",0.994261168212646,0,1
"414","LUX","2006",0.994261770233439,0,1
"415","LUX","2005",0.993709457289694,0,1
"416","LUX","2004",0.993166326152474,0,1
"417","LUX","2003",0.993338813552535,0,1
"418","LUX","2002",0.993351838108834,0,1
"419","LUX","2001",0.993509348747141,0,1
"420","LUX","2000",0.993624752510447,0,1
"421","LVA","2014",0.989870073599748,1,1
"422","LVA","2013",0.989548206900776,1,1
"423","LVA","2012",0.98950422957167,1,1
"424","LVA","2011",0.989715468424536,1,1
"425","LVA","2010",0.989580489005317,1,1
"426","LVA","2009",0.989801564775229,1,1
"427","LVA","2008",0.989847513033724,1,1
"428","LVA","2007",0.989936082532736,1,1
"429","LVA","2006",0.990618578835709,1,1
"430","LVA","2005",0.990217112695604,1,1
"431","LVA","2004",0.990598703403173,1,1
"432","LVA","2003",0.990600830791416,1,1
"433","LVA","2002",0.990481046389628,1,1
"434","LVA","2001",0.990244253696821,1,1
"435","LVA","2000",0.990301199048853,1,1
"436","MEX","2014",0.993309700361271,0,0
"437","MEX","2013",0.993215483156721,0,0
"438","MEX","2012",0.993555268674431,0,0
"439","MEX","2011",0.993333237109115,0,0
"440","MEX","2010",0.99344365430753,0,0
"441","MEX","2009",0.993720782901232,0,0
"442","MEX","2008",0.993240227289393,0,0
"443","MEX","2007",0.993209902317262,0,0
"444","MEX","2006",0.993599853103343,0,0
"445","MEX","2005",0.993350644882164,0,0
"446","MEX","2004",0.99361349754264,0,0
"447","MEX","2003",0.99265280441332,0,0
"448","MEX","2002",0.992660815791657,0,0
"449","MEX","2001",0.992726349349275,0,0
"450","MEX","2000",0.992502046335221,0,0
"451","MLT","2014",0.994448927714169,0,1
"452","MLT","2013",0.994598395902533,0,1
"453","MLT","2012",0.994517104223943,0,1
"454","MLT","2011",0.994343470631565,0,1
"455","MLT","2010",0.994141417223312,0,1
"456","MLT","2009",0.994150113123449,0,1
"457","MLT","2008",0.993582407166277,0,1
"458","MLT","2007",0.993587541485736,0,1
"459","MLT","2006",0.993677508632343,0,1
"460","MLT","2005",0.994013713667104,0,1
"461","MLT","2004",0.993743734859377,0,1
"462","MLT","2003",0.994116087463925,0,1
"463","MLT","2002",0.99445295968599,0,1
"464","MLT","2001",0.994066694184179,0,1
"465","MLT","2000",0.994233032279041,0,1
"466","NLD","2014",0.990601106169358,0,1
"467","NLD","2013",0.990601868580886,0,1
"468","NLD","2012",0.990989157853148,0,1
"469","NLD","2011",0.990798559794789,0,1
