"","Country","Year","gini","Eu_2004","Eu_2014","Educbasic","workagepop","R&D","FDIinflows"
"76","DEU","2014",0.990100713823579,"0","1",37.739,53484793,"2.87784004211426",0.502227192634127
"77","DEU","2013",0.990198818586106,"0","1",41.416,53359211,"2.8359899520874",1.79976460383521
"78","DEU","2012",0.990141274572514,"0","1",40.911,53223281,"2.88165998458862",1.85541340766522
"79","DEU","2011",0.990041140051577,"0","1",40.899,53064867,"2.80555009841919",2.60141930420253
"80","DEU","2010",0.99006521202146,"0","1",37.459,53930401,"2.73024010658264",2.53076202316038
"81","DEU","2009",0.989757427634371,"0","1",38.105,53968471,"2.74266004562378",1.66219803352095
"82","DEU","2008",0.990095006944955,"0","1",38.096,54181517,"2.61512994766235",0.826503411355668
"83","DEU","2007",0.990094895061166,"0","1",38.363,54364149,"2.4604799747467",1.48433864746801
"84","DEU","2006",0.989952267470328,"0","1",38.775,54601018,"2.47232007980347",2.91996035974954
"85","DEU","2005",0.989774544792571,"0","1",43.459,54928804,"2.44193005561829",2.10179308132486
"86","DEU","2004",0.989770168736783,"0","1",40.687,55245312,"2.43518996238709",-0.725154707065695
"87","DEU","2003",0.989968970056157,"0","1",41.859,55504907,"2.47461009025574",2.61434522365247
"88","DEU","2002",0.989956210668092,"0","1",41.958,55661657,"2.4362199306488",2.46661519292525
"89","DEU","2001",0.990000045352666,"0","1",42.373,55754780,"2.40437006950378",2.9267553994045
"90","DEU","2000",0.990012479438163,"0","1",50.538,55870870,"2.40982007980347",12.731503590187
"91","DNK","2014",0.989492638335845,"0","1",43.245,3637286,"2.9140899181366",1.86330528301876
"92","DNK","2013",0.98954337421444,"0","1",43.195,3627270,"2.97047996520996",0.198012180552081
"93","DNK","2012",0.989785003542061,"0","1",44.769,3624206,"2.98125004768372",-4.99767032555428
"94","DNK","2011",0.989621984646001,"0","1",46.333,3627006,"2.94464993476868",3.94150318758658
"95","DNK","2010",0.989595185588763,"0","1",47.72,3629335,"2.91706991195679",-3.65466908301772
"96","DNK","2009",0.989338196496841,"0","1",50.188,3627842,"3.05514001846313",1.17390242059711
"97","DNK","2008",0.989530275027602,"0","1",51.47,3620404,"2.77345991134644",0.620106753447922
"98","DNK","2007",0.989414887617903,"0","1",52.941,3608446,"2.51540994644165",3.69711411627472
"99","DNK","2006",0.989213928442164,"0","1",48.54,3598201,"2.40300011634827",0.84318706518409
"100","DNK","2005",0.989165215360405,"0","1",55.581,3590112,"2.3933699131012",4.857700582033
"101","DNK","2004",0.989342041794888,"0","1",55.778,3583778,"2.41915988922119",-3.50243080506856
"102","DNK","2003",0.989477082836897,"0","1",55.307,3578487,"2.51084995269775",0.543258463167203
"103","DNK","2002",0.9894000855055,"0","1",53.075,3573414,"2.44145011901855",2.48030851638993
"104","DNK","2001",0.989339114244532,"0","1",51.24,3567227,"2.32466006278992",5.63524699016127
"105","DNK","2000",0.989011425870738,"0","1",53.76,3560844,"2.18619990348816",21.9380936434814
"106","ESP","2014",0.98972353419994,"0","1",51.568,30917313,"1.24159002304077",2.40142613065937
"107","ESP","2013",0.989600343151518,"0","1",47.584,31201239,"1.27481997013092",3.49468567383381
"108","ESP","2012",0.989009272567054,"0","1",48.014,31505596,"1.29876005649567",1.57376618001706
"109","ESP","2011",0.988758294444155,"0","1",48.361,31650627,"1.33341002464294",1.81210524220555
"110","ESP","2010",0.988861807017827,"0","1",48.626,31708922,"1.35995995998383",2.57430062720058
"111","ESP","2009",0.988954129993967,"0","1",48.668,31740573,"1.36363995075226",0.640294112308163
"112","ESP","2008",0.990010491081965,"0","1",48.722,31604262,"1.32500004768372",4.54012423037454
"113","ESP","2007",0.989840674953941,"0","1",47.781,31152612,"1.24053001403809",4.62887025092435
"114","ESP","2006",0.989712395543212,"0","1",47.347,30560758,"1.17701995372772",2.61249350717978
"115","ESP","2005",0.989689418096838,"0","1",51.955,30062646,"1.09956002235413",2.34093823726441
"116","ESP","2004",0.989514327716463,"0","1",51.5,29524610,"1.04088997840881",2.3635993180717
"117","ESP","2003",0.989529368847559,"0","1",51.34,28929865,"1.02373003959656",3.38790004154804
"118","ESP","2002",0.989552954785622,"0","1",50.113,28359843,"0.959710001945496",5.5533457146155
"119","ESP","2001",0.989618506045277,"0","1",48.87,27974777,"0.888329982757568",4.60465661678133
"120","ESP","2000",0.989633525544283,"0","1",50.123,27827997,"0.882759988307953",6.77009273042178
"121","EST","2014",0.989977006132928,"1","1",40.419,861707,"1.43023002147675",6.689355477049
"122","EST","2013",0.989776179055286,"1","1",36.661,870697,"1.72412002086639",4.37152766625212
"123","EST","2012",0.989865574981963,"1","1",35.976,880189,"2.12480998039246",7.76458523010248
"124","EST","2011",0.990121637637585,"1","1",36.867,889309,"2.30521988868713",4.82100708113248
"125","EST","2010",0.989916134585114,"1","1",33.342,896373,"1.57898998260498",13.2776301644786
"126","EST","2009",0.990133316737524,"1","1",33.694,901239,"1.39679002761841",9.50590313222057
"127","EST","2008",0.989954761108982,"1","1",34.309,904893,"1.25188004970551",8.12295909046486
