"","Country","Year","Entropy","Eu_2014","Eu_2004","Educbasic","workagepop","R&D","FDIinflows"
"91","DNK","2014",5.08658446981083,"1","0",43.245,3637286,"2.9140899181366",1.86330528301876
"92","DNK","2013",5.07978958276345,"1","0",43.195,3627270,"2.97047996520996",0.198012180552081
"93","DNK","2012",5.05121682100938,"1","0",44.769,3624206,"2.98125004768372",-4.99767032555428
"94","DNK","2011",5.06664123216553,"1","0",46.333,3627006,"2.94464993476868",3.94150318758658
"95","DNK","2010",5.06717454796737,"1","0",47.72,3629335,"2.91706991195679",-3.65466908301772
"96","DNK","2009",5.10150074522079,"1","0",50.188,3627842,"3.05514001846313",1.17390242059711
"97","DNK","2008",5.07526186686788,"1","0",51.47,3620404,"2.77345991134644",0.620106753447922
"98","DNK","2007",5.09425500041645,"1","0",52.941,3608446,"2.51540994644165",3.69711411627472
"99","DNK","2006",5.11663471166943,"1","0",48.54,3598201,"2.40300011634827",0.84318706518409
"100","DNK","2005",5.12376941469868,"1","0",55.581,3590112,"2.3933699131012",4.857700582033
"101","DNK","2004",5.10756199667047,"1","0",55.778,3583778,"2.41915988922119",-3.50243080506856
"102","DNK","2003",5.09122364445351,"1","0",55.307,3578487,"2.51084995269775",0.543258463167203
"103","DNK","2002",5.09860801229944,"1","0",53.075,3573414,"2.44145011901855",2.48030851638993
"104","DNK","2001",5.1063212836297,"1","0",51.24,3567227,"2.32466006278992",5.63524699016127
"105","DNK","2000",5.14394981577738,"1","0",53.76,3560844,"2.18619990348816",21.9380936434814
"106","ESP","2014",5.04254555714521,"1","0",51.568,30917313,"1.24159002304077",2.40142613065937
"107","ESP","2013",5.05545132780105,"1","0",47.584,31201239,"1.27481997013092",3.49468567383381
"108","ESP","2012",5.13292079223918,"1","0",48.014,31505596,"1.29876005649567",1.57376618001706
"109","ESP","2011",5.16420514008114,"1","0",48.361,31650627,"1.33341002464294",1.81210524220555
"110","ESP","2010",5.14441921157455,"1","0",48.626,31708922,"1.35995995998383",2.57430062720058
"111","ESP","2009",5.13450616533611,"1","0",48.668,31740573,"1.36363995075226",0.640294112308163
"112","ESP","2008",4.99960484707743,"1","0",48.722,31604262,"1.32500004768372",4.54012423037454
"113","ESP","2007",5.02000821207309,"1","0",47.781,31152612,"1.24053001403809",4.62887025092435
"114","ESP","2006",5.03731239369732,"1","0",47.347,30560758,"1.17701995372772",2.61249350717978
"115","ESP","2005",5.04268134263708,"1","0",51.955,30062646,"1.09956002235413",2.34093823726441
"116","ESP","2004",5.06636422911904,"1","0",51.5,29524610,"1.04088997840881",2.3635993180717
"117","ESP","2003",5.05938673780255,"1","0",51.34,28929865,"1.02373003959656",3.38790004154804
"118","ESP","2002",5.05663898056815,"1","0",50.113,28359843,"0.959710001945496",5.5533457146155
"119","ESP","2001",5.04992365807532,"1","0",48.87,27974777,"0.888329982757568",4.60465661678133
"120","ESP","2000",5.04883903304193,"1","0",50.123,27827997,"0.882759988307953",6.77009273042178
"121","EST","2014",5.01595998208489,"1","1",40.419,861707,"1.43023002147675",6.689355477049
"122","EST","2013",5.04748435506897,"1","1",36.661,870697,"1.72412002086639",4.37152766625212
"123","EST","2012",5.0347185897758,"1","1",35.976,880189,"2.12480998039246",7.76458523010248
"124","EST","2011",5.00216182434482,"1","1",36.867,889309,"2.30521988868713",4.82100708113248
"125","EST","2010",5.0256005225513,"1","1",33.342,896373,"1.57898998260498",13.2776301644786
"126","EST","2009",5.00725442293579,"1","1",33.694,901239,"1.39679002761841",9.50590313222057
"127","EST","2008",5.02331316148539,"1","1",34.309,904893,"1.25188004970551",8.12295909046486
"128","EST","2007",5.06137493208603,"1","1",32.588,908765,"1.05874001979828",13.5111961567385
"129","EST","2006",5.01233420598844,"1","1",32.557,915462,"1.11276996135712",10.3282677580747
"130","EST","2005",4.97473029044806,"1","1",29.602,922372,"0.917050004005432",21.6743735548716
"131","EST","2004",4.95153473615926,"1","1",32.479,926719,"0.845839977264404",8.94863599334533
"132","EST","2003",4.99381652240802,"1","1",30.477,930328,"0.764649987220764",10.5149208720017
"133","EST","2002",4.93479568979667,"1","1",28.134,934061,"0.712029993534088",4.59059944726891
"134","EST","2001",4.91575874832644,"1","1",30.145,937945,"0.698390007019043",9.47918147111243
"135","EST","2000",4.86828389858809,"1","1",29.814,941321,"0.600000023841858",7.31923766598522
"136","FIN","2014",4.57116202745663,"1","0",29.03,3491693,"3.14751005172729",6.37721739347512
"137","FIN","2013",4.57900500639013,"1","0",29.547,3508386,"3.27136993408203",-1.81391357891476
"138","FIN","2012",4.58990988418619,"1","0",30.426,3524876,"3.3983199596405",1.90912917463228
"139","FIN","2011",4.61609573640531,"1","0",31.267,3539610,"3.61806011199951",-2.179936953365
"140","FIN","2010",4.62037214630906,"1","0",31.406,3549606,"3.70531988143921",4.89968635862389
"141","FIN","2009",4.70270155516268,"1","0",32.195,3547864,"3.73401999473572",-3.48162112393045
"142","FIN","2008",4.66744859664526,"1","0",33.935,3536864,"3.53696990013123",6.79228430535503
"143","FIN","2007",4.59876058700715,"1","0",34.198,3518847,"3.33703994750977",8.57302514110282
"144","FIN","2006",4.55186424669224,"1","0",34.506,3507266,"3.33214998245239",2.13678262162868
"145","FIN","2005",4.56267760033081,"1","0",42.351,3499298,"3.32369995117188",5.30433190858078
"146","FIN","2004",4.44301587184374,"1","0",45.324,3488772,"3.30907011032104",3.43179887742407
"147","FIN","2003",4.45441084171811,"1","0",46.797,3483581,"3.29821991920471",3.47526038641381
"148","FIN","2002",4.42649533740251,"1","0",48.057,3478324,"3.25307989120483",5.76518399300031
"149","FIN","2001",4.3464169780915,"1","0",47.694,3471758,"3.19372010231018",2.48948733398858
"150","FIN","2000",4.23238312861127,"1","0",53.446,3464352,"3.24137997627258",10.714265643958
"151","FRA","2014",4.98245867353265,"1","0",31.764,41834284,"2.27591991424561",0.203254562718035
"152","FRA","2013",4.99667151960984,"1","0",33.309,41924226,"2.23703002929688",1.12342342416042
"153","FRA","2012",5.00107260369043,"1","0",34.435,42005760,"2.22707009315491",1.22759662106149
"154","FRA","2011",4.99689692370619,"1","0",34.687,42095743,"2.19161009788513",1.54287540837324
"155","FRA","2010",4.98118065106169,"1","0",34.942,42084351,"2.17857003211975",1.47019572697397
"156","FRA","2009",5.03032262873976,"1","0",34.919,41982175,"2.21206998825073",0.682106491646852
"157","FRA","2008",5.03655188481051,"1","0",34.817,41868249,"2.06117010116577",2.32049138897663
"158","FRA","2007",5.03596106937787,"1","0",35.638,41694810,"2.0245099067688",3.14883387347586
"159","FRA","2006",5.04366325272802,"1","0",36.084,41435583,"2.05094003677368",3.40253485643684
"160","FRA","2005",5.03162262170804,"1","0",36.223,41120722,"2.05151009559631",3.87524735138074
"161","FRA","2004",5.04407383235889,"1","0",44,40808634,"2.09460997581482",1.67993859132812
"162","FRA","2003",5.02931556014201,"1","0",44.07,40511430,"2.11994004249573",2.29600283284986
"163","FRA","2002",5.00205606008977,"1","0",43.055,40220123,"2.17448997497559",3.43347287145825
"164","FRA","2001",5.00020524067767,"1","0",43.086,39940381,"2.13804006576538",3.63966078420369
"165","FRA","2000",5.00306201925537,"1","0",43.677,39677855,"2.09346008300781",3.03074697177105
"166","GBR","2014",5.15677400403555,"1","0",56.954,41827620,"2.26449990272522",1.92156774768545
"167","GBR","2013",5.1609491962691,"1","0",56.638,41710813,"1.62011003494263",1.95605174026818
"168","GBR","2012",5.17231132882174,"1","0",56.617,41663167,"1.57631003856659",1.72697599448212
"169","GBR","2011",5.15901852651182,"1","0",59.301,41607173,"1.6452100276947",1.01403975166563
"170","GBR","2010",5.15243027237528,"1","0",56.176,41444114,"1.63496994972229",2.6849735901
"171","GBR","2009",5.19776975709179,"1","0",57.607,41224543,"1.66659998893738",0.602903980683404
"172","GBR","2008",5.1339216684772,"1","0",57.807,40985517,"1.6078599691391",8.65204820165557
"173","GBR","2007",5.14440688236222,"1","0",67.614,40682733,"1.61708998680115",6.77930004470465
"174","GBR","2006",5.13567026862395,"1","0",67.672,40315048,"1.57539999485016",7.51858312899467
"175","GBR","2005",5.15989448454851,"1","0",67.398,39917314,"1.54904997348785",9.93454640049509
"176","GBR","2004",5.1369307157235,"1","0",67.364,39543896,"1.52997994422913",3.59523929838674
"177","GBR","2003",5.12480765293881,"1","0",67.833,39224731,"1.57962000370026",1.7528640877232
"178","GBR","2002",5.09093267229685,"1","0",67.841,38933315,"1.61372995376587",5.02654863681235
"179","GBR","2001",5.07907380778099,"1","0",68.317,38661576,"1.59658002853394",3.3998059098334
"180","GBR","2000",5.08728754516202,"1","0",69.003,38411614,"1.60906004905701",9.85451206947804
"181","GRC","2014",4.73115722509667,"1","0",33.432,7065107,"0.839980006217957",1.14557064148088
"182","GRC","2013",4.75016630453494,"1","0",33.944,7140124,"0.814779996871948",1.23280746804565
"183","GRC","2012",4.73661766161994,"1","0",34.866,7224390,"0.710049986839294",0.686731020108175
"184","GRC","2011",4.77604429042006,"1","0",36.256,7304091,"0.684260010719299",0.385938886644913
"185","GRC","2010",4.80885865627045,"1","0",38.081,7360393,"0.603470027446747",0.179361228004649
"186","GRC","2009",4.83745570493978,"1","0",38.828,7391000,"0.625569999217987",0.834961020727542
"187","GRC","2008",4.7893766574069,"1","0",38.256,7402118,"0.661830008029938",1.61093214151846
"188","GRC","2007",4.83919766115107,"1","0",38.381,7401422,"0.576550006866455",0.613705575128197
"189","GRC","2006",4.82125920384017,"1","0",38.707,7397524,"0.561179995536804",1.97823728049588
"190","GRC","2005",4.85792519342402,"1","0",39.763,7400093,"0.578960001468658",0.277754143805881
"191","GRC","2004",4.82142135448695,"1","0",39.765,7406506,"0.527300000190735",0.891391174178269
"192","GRC","2003",4.77342725678726,"1","0",41.683,7410994,"0.546540021896362",0.695797659170262
"193","GRC","2002",4.73666909645356,"1","0",42.203,7414777,"..",0.0221141414013334
"194","GRC","2001",4.74986790104323,"1","0",42.664,7407059,"0.559480011463165",0.00146818055136564
"195","GRC","2000",4.69266769797288,"1","0",43.414,7381435,"..",-0.0062820866311515
"196","HUN","2014",5.01302582686131,"1","1",24.34,6691117,"1.3445999622345",9.26026289604708
"197","HUN","2013",5.03957765743446,"1","1",27.714,6747076,"1.38409996032715",-2.64334200019703
"198","HUN","2012",5.02970196642558,"1","1",27.052,6794920,"1.25423002243042",8.39652900734838
"199","HUN","2011",5.09910466509967,"1","1",26.337,6849382,"1.17925000190735",7.56713765607226
"200","HUN","2010",5.12076545468414,"1","1",26.064,6874888,"1.12864995002747",-15.7141859416703
