"","Country","Year","Entropy","Eu_2014","Eu_2004","Educbasic","workagepop","R&D","FDIinflows"
"85","DEU","2005",9.44814695426727,"1","0",43.459,54928804,"2.44193005561829",2.10179308132486
"86","DEU","2004",9.4311409294465,"1","0",40.687,55245312,"2.43518996238709",-0.725154707065695
"87","DEU","2003",9.42647826563904,"1","0",41.859,55504907,"2.47461009025574",2.61434522365247
"88","DEU","2002",9.40604981982248,"1","0",41.958,55661657,"2.4362199306488",2.46661519292525
"89","DEU","2001",9.38941318664919,"1","0",42.373,55754780,"2.40437006950378",2.9267553994045
"90","DEU","2000",9.39236427188269,"1","0",50.538,55870870,"2.40982007980347",12.731503590187
"91","DNK","2014",8.77180487059379,"1","0",43.245,3637286,"2.9140899181366",1.86330528301876
"92","DNK","2013",8.69673983954026,"1","0",43.195,3627270,"2.97047996520996",0.198012180552081
"93","DNK","2012",8.65417188702266,"1","0",44.769,3624206,"2.98125004768372",-4.99767032555428
"94","DNK","2011",8.71707640332633,"1","0",46.333,3627006,"2.94464993476868",3.94150318758658
"95","DNK","2010",8.74500354900384,"1","0",47.72,3629335,"2.91706991195679",-3.65466908301772
"96","DNK","2009",8.80574437734868,"1","0",50.188,3627842,"3.05514001846313",1.17390242059711
"97","DNK","2008",8.59014829892307,"1","0",51.47,3620404,"2.77345991134644",0.620106753447922
"98","DNK","2007",8.68546728555667,"1","0",52.941,3608446,"2.51540994644165",3.69711411627472
"99","DNK","2006",8.71558094028959,"1","0",48.54,3598201,"2.40300011634827",0.84318706518409
"100","DNK","2005",8.75521505421637,"1","0",55.581,3590112,"2.3933699131012",4.857700582033
"101","DNK","2004",8.6765031013634,"1","0",55.778,3583778,"2.41915988922119",-3.50243080506856
"102","DNK","2003",8.69308259959062,"1","0",55.307,3578487,"2.51084995269775",0.543258463167203
"103","DNK","2002",8.79432944815591,"1","0",53.075,3573414,"2.44145011901855",2.48030851638993
"104","DNK","2001",8.79459399378935,"1","0",51.24,3567227,"2.32466006278992",5.63524699016127
"105","DNK","2000",8.77740373386149,"1","0",53.76,3560844,"2.18619990348816",21.9380936434814
"106","ESP","2014",8.73592158742156,"1","0",51.568,30917313,"1.24159002304077",2.40142613065937
"107","ESP","2013",8.74184181199249,"1","0",47.584,31201239,"1.27481997013092",3.49468567383381
"108","ESP","2012",8.84913820016888,"1","0",48.014,31505596,"1.29876005649567",1.57376618001706
"109","ESP","2011",8.87266913700618,"1","0",48.361,31650627,"1.33341002464294",1.81210524220555
"110","ESP","2010",8.8833057796795,"1","0",48.626,31708922,"1.35995995998383",2.57430062720058
"111","ESP","2009",8.91672010776031,"1","0",48.668,31740573,"1.36363995075226",0.640294112308163
"112","ESP","2008",8.93550232367392,"1","0",48.722,31604262,"1.32500004768372",4.54012423037454
"113","ESP","2007",8.95028312244116,"1","0",47.781,31152612,"1.24053001403809",4.62887025092435
"114","ESP","2006",8.97702747103288,"1","0",47.347,30560758,"1.17701995372772",2.61249350717978
"115","ESP","2005",8.92510028049715,"1","0",51.955,30062646,"1.09956002235413",2.34093823726441
"116","ESP","2004",8.95293128689812,"1","0",51.5,29524610,"1.04088997840881",2.3635993180717
"117","ESP","2003",8.94964681951082,"1","0",51.34,28929865,"1.02373003959656",3.38790004154804
"118","ESP","2002",8.91078744496697,"1","0",50.113,28359843,"0.959710001945496",5.5533457146155
"119","ESP","2001",8.92779869780963,"1","0",48.87,27974777,"0.888329982757568",4.60465661678133
"120","ESP","2000",8.89508405939107,"1","0",50.123,27827997,"0.882759988307953",6.77009273042178
"121","EST","2014",8.76325318278621,"1","1",40.419,861707,"1.43023002147675",6.689355477049
"122","EST","2013",8.7393952858286,"1","1",36.661,870697,"1.72412002086639",4.37152766625212
"123","EST","2012",8.74525032296472,"1","1",35.976,880189,"2.12480998039246",7.76458523010248
"124","EST","2011",8.77816185145238,"1","1",36.867,889309,"2.30521988868713",4.82100708113248
"125","EST","2010",8.7381690659533,"1","1",33.342,896373,"1.57898998260498",13.2776301644786
"126","EST","2009",8.85292940151016,"1","1",33.694,901239,"1.39679002761841",9.50590313222057
"127","EST","2008",8.8004857018168,"1","1",34.309,904893,"1.25188004970551",8.12295909046486
"128","EST","2007",8.82552054634896,"1","1",32.588,908765,"1.05874001979828",13.5111961567385
"129","EST","2006",8.79430559372265,"1","1",32.557,915462,"1.11276996135712",10.3282677580747
"130","EST","2005",8.71783865294898,"1","1",29.602,922372,"0.917050004005432",21.6743735548716
"131","EST","2004",8.69071427590521,"1","1",32.479,926719,"0.845839977264404",8.94863599334533
"132","EST","2003",8.62034483199853,"1","1",30.477,930328,"0.764649987220764",10.5149208720017
"133","EST","2002",8.3729850938102,"1","1",28.134,934061,"0.712029993534088",4.59059944726891
"134","EST","2001",8.20831283376701,"1","1",30.145,937945,"0.698390007019043",9.47918147111243
"135","EST","2000",8.33888164884483,"1","1",29.814,941321,"0.600000023841858",7.31923766598522
"136","FIN","2014",9.27338810044393,"1","0",29.03,3491693,"3.14751005172729",6.37721739347512
"137","FIN","2013",9.22640846102725,"1","0",29.547,3508386,"3.27136993408203",-1.81391357891476
"138","FIN","2012",9.23141332507952,"1","0",30.426,3524876,"3.3983199596405",1.90912917463228
"139","FIN","2011",9.19992163128897,"1","0",31.267,3539610,"3.61806011199951",-2.179936953365
"140","FIN","2010",9.20029093481297,"1","0",31.406,3549606,"3.70531988143921",4.89968635862389
"141","FIN","2009",9.2299666530899,"1","0",32.195,3547864,"3.73401999473572",-3.48162112393045
"142","FIN","2008",9.23756160695397,"1","0",33.935,3536864,"3.53696990013123",6.79228430535503
"143","FIN","2007",9.21298458496135,"1","0",34.198,3518847,"3.33703994750977",8.57302514110282
"144","FIN","2006",9.22264377371724,"1","0",34.506,3507266,"3.33214998245239",2.13678262162868
"145","FIN","2005",9.26716299257701,"1","0",42.351,3499298,"3.32369995117188",5.30433190858078
"146","FIN","2004",9.24323262481676,"1","0",45.324,3488772,"3.30907011032104",3.43179887742407
