"","Country","Year","Gini_Coefficient","EU_2004","EU_2014"
"205","EST","2005",0.851383140654897,1,1
"206","EST","2004",0.852725917161983,1,1
"207","EST","2003",0.860492844785884,1,1
"208","EST","2002",0.877403766490289,1,1
"209","EST","2001",0.887872208368687,1,1
"210","EST","2000",0.880387823338869,1,1
"211","FIN","2014",0.798240478313553,0,1
"212","FIN","2013",0.802678454029774,0,1
"213","FIN","2012",0.801112835032737,0,1
"214","FIN","2011",0.803458500512994,0,1
"215","FIN","2010",0.802067646770873,0,1
"216","FIN","2009",0.799120190006767,0,1
"217","FIN","2008",0.797880598240689,0,1
"218","FIN","2007",0.803428871604159,0,1
"219","FIN","2006",0.803225948025708,0,1
"220","FIN","2005",0.79831372600468,0,1
"221","FIN","2004",0.801139081846383,0,1
"222","FIN","2003",0.798747219850288,0,1
"223","FIN","2002",0.804064547802766,0,1
"224","FIN","2001",0.805024092350775,0,1
"225","FIN","2000",0.808045947254717,0,1
"226","FRA","2014",0.820549751951186,0,1
"227","FRA","2013",0.821374370172908,0,1
"228","FRA","2012",0.823011539860835,0,1
"229","FRA","2011",0.825225677087366,0,1
"230","FRA","2010",0.823289249784826,0,1
"231","FRA","2009",0.822508668002742,0,1
"232","FRA","2008",0.826035004209582,0,1
"233","FRA","2007",0.826289939164113,0,1
"234","FRA","2006",0.825520061488344,0,1
"235","FRA","2005",0.825810833266634,0,1
"236","FRA","2004",0.828637299972147,0,1
"237","FRA","2003",0.83185245251193,0,1
"238","FRA","2002",0.833178618375912,0,1
"239","FRA","2001",0.837017770488173,0,1
"240","FRA","2000",0.836773423456098,0,1
"241","GBR","2014",0.834104567801102,0,1
"242","GBR","2013",0.840918424437562,0,1
"243","GBR","2012",0.834600600629728,0,1
"244","GBR","2011",0.827634551466028,0,1
"245","GBR","2010",0.823777303286626,0,1
"246","GBR","2009",0.827375611952501,0,1
"247","GBR","2008",0.825374356020312,0,1
"248","GBR","2007",0.826385909135613,0,1
"249","GBR","2006",0.826378476254148,0,1
"250","GBR","2005",0.819827788192613,0,1
"251","GBR","2004",0.823027242752613,0,1
"252","GBR","2003",0.82234986443036,0,1
"253","GBR","2002",0.824333528723192,0,1
"254","GBR","2001",0.827559275744552,0,1
"255","GBR","2000",0.823336098454835,0,1
"256","GRC","2014",0.919498061725888,0,1
"257","GRC","2013",0.911425800866913,0,1
"258","GRC","2012",0.915121008558605,0,1
"259","GRC","2011",0.911919696289837,0,1
"260","GRC","2010",0.900424785430967,0,1
"261","GRC","2009",0.900471163014561,0,1
"262","GRC","2008",0.897279270969472,0,1
"263","GRC","2007",0.895031775728207,0,1
"264","GRC","2006",0.891576799354838,0,1
"265","GRC","2005",0.899535956748596,0,1
"266","GRC","2004",0.900760448013605,0,1
"267","GRC","2003",0.900829698130772,0,1
"268","GRC","2002",0.901045814273819,0,1
"269","GRC","2001",0.898667421821481,0,1
"270","GRC","2000",0.904251754026383,0,1
